silk_id,segment_no,latitude,longitude,sample_time_utc,project,route,vessel,meanlong,region,richness_raw,number_segments,meanlat,silk_area,richness
1,1,-28.34227,153.81389,26/6/09 22:08,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,3,395,-30.259068481012658,3,1
1,5,-28.67602,153.81092,26/6/09 23:12,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,21,395,-30.259068481012658,3,7
1,9,-29.00665,153.7558,27/6/09 0:17,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,27,395,-30.259068481012658,3,9
1,13,-29.33726,153.70033,27/6/09 1:22,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,54,395,-30.259068481012658,3,18
1,17,-29.66785,153.6445,27/6/09 2:26,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,24,395,-30.259068481012658,3,8
1,18,-29.75049,153.63048,27/6/09 2:43,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,18,395,-30.259068481012658,3,6
1,26,-30.40335,153.46916,27/6/09 4:52,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,36,395,-30.259068481012658,3,12
1,30,-30.72829,153.37943,27/6/09 5:57,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,9,395,-30.259068481012658,3,3
1,33,-30.97196,153.31174,27/6/09 6:45,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,24,395,-30.259068481012658,3,8
1,37,-31.2968,153.22095,27/6/09 7:50,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,36,395,-30.259068481012658,3,12
1,41,-31.62157,153.12953,27/6/09 8:55,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,12,395,-30.259068481012658,3,4
1,45,-31.94033,153.01652,27/6/09 9:59,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,45,395,-30.259068481012658,3,15
1,49,-32.24759,152.8626,27/6/09 11:04,AusCPR,BRSY,ANL Windarra,153.2465544556962,East,27,395,-30.259068481012658,3,9
2,1,-34.10803,151.27888,29/6/09 5:07,AusCPR,SYME,ANL Windarra,149.36685667269438,East,3,553,-37.26920652802893,3,1
2,5,-34.43895,151.22525,29/6/09 6:03,AusCPR,SYME,ANL Windarra,149.36685667269438,East,0,553,-37.26920652802893,3,0
2,9,-34.76984,151.17119,29/6/09 7:00,AusCPR,SYME,ANL Windarra,149.36685667269438,East,3,553,-37.26920652802893,3,1
2,13,-35.09808,151.10106,29/6/09 7:57,AusCPR,SYME,ANL Windarra,149.36685667269438,East,12,553,-37.26920652802893,3,4
2,17,-35.42023,150.99449,29/6/09 8:54,AusCPR,SYME,ANL Windarra,149.36685667269438,East,6,553,-37.26920652802893,3,2
2,21,-35.74229,150.88706,29/6/09 9:50,AusCPR,SYME,ANL Windarra,149.36685667269438,East,21,553,-37.26920652802893,3,7
2,25,-36.06426,150.77876,29/6/09 10:47,AusCPR,SYME,ANL Windarra,149.36685667269438,East,18,553,-37.26920652802893,3,6
2,29,-36.38612,150.66957,29/6/09 11:44,AusCPR,SYME,ANL Windarra,149.36685667269438,East,12,553,-37.26920652802893,3,4
2,33,-36.70789,150.55947,29/6/09 12:41,AusCPR,SYME,ANL Windarra,149.36685667269438,East,24,553,-37.26920652802893,3,8
